datetime,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,weather_description
2025-05-25 10:00:00,302.12,305.45,1012,68,295.62,6.42,1,2.17,63,clear sky
2025-05-25 11:00:00,301.81,305.49,1012,72,296.26,9.25,1,2.38,63,clear sky
2025-05-25 12:00:00,302.55,305.97,1012,66,295.53,11.21,1,2.31,62,clear sky
2025-05-25 13:00:00,303.93,307.3,1011,59,294.99,11.66,1,2.42,67,clear sky
2025-05-25 14:00:00,305.39,308.47,1010,52,294.28,10.33,4,2.58,90,light rain
2025-05-25 15:00:00,305.44,307.8,1010,49,293.37,7.7,10,5.35,138,light rain
2025-05-25 16:00:00,304.74,303.98,1009,34,287.18,4.36,22,4.65,183,light rain
2025-05-25 17:00:00,301.42,302.01,1010,51,288.36,1.69,37,5.02,191,moderate rain
2025-05-25 18:00:00,303.19,303.13,1009,42,286.28,0.29,48,2.93,212,scattered clouds
2025-05-25 19:00:00,301.99,301.43,1009,38,286.01,0.03,22,2.32,247,few clouds
2025-05-25 20:00:00,299.21,299.21,1011,39,286.3,0,66,1.48,311,broken clouds
2025-05-25 21:00:00,298.5,298.11,1010,39,286.19,0,77,2.39,157,broken clouds
2025-05-25 22:00:00,296.31,295.78,1010,42,286.31,0,80,2.36,160,broken clouds
2025-05-25 23:00:00,296.6,296.07,1010,41,286.16,0,83,2.17,124,broken clouds
2025-05-26 00:00:00,295.96,295.45,1009,44,286.04,0,87,0.62,79,overcast clouds
2025-05-26 01:00:00,299.11,299.11,1009,50,286.94,0,42,1.07,312,scattered clouds
2025-05-26 02:00:00,298.81,298.82,1009,53,287.54,0,28,2.26,293,scattered clouds
2025-05-26 03:00:00,298.93,299,1009,55,287.85,0,46,2.54,296,scattered clouds
2025-05-26 04:00:00,298.99,299.07,1009,55,287.98,0,59,1.12,267,broken clouds
2025-05-26 05:00:00,298.78,298.86,1009,56,288.08,0,67,1.13,227,broken clouds
2025-05-26 06:00:00,298.97,299.04,1010,55,288.02,0,73,0.76,217,broken clouds
2025-05-26 07:00:00,300.15,300.75,1011,53,288.51,0.26,99,0.59,165,overcast clouds
2025-05-26 08:00:00,301.62,301.94,1011,48,288.42,1.13,100,0.82,170,overcast clouds
2025-05-26 09:00:00,304.45,304.02,1010,37,286.8,2.73,100,1.25,135,overcast clouds
2025-05-26 10:00:00,305.8,305.15,1010,33,286.39,5.59,100,1.74,64,overcast clouds
2025-05-26 11:00:00,306.92,306.3,1009,31,286.63,8.45,100,2.13,61,overcast clouds
2025-05-26 12:00:00,308.45,308.04,1009,29,286.72,10.4,93,2.36,64,overcast clouds
2025-05-26 13:00:00,309.61,309.05,1008,26,286.45,10.84,2,2.51,60,clear sky
2025-05-26 14:00:00,310.49,309.83,1007,24,285.94,9.49,10,2.84,72,clear sky
2025-05-26 15:00:00,311,310.31,1006,23,285.68,7.09,16,3.68,94,few clouds
2025-05-26 16:00:00,310.76,309.97,1006,23,285.67,4.3,22,4.51,108,few clouds
2025-05-26 17:00:00,310.3,309.8,1005,25,286.54,2.01,21,5.47,127,few clouds
2025-05-26 18:00:00,309.01,308.86,1005,29,287.45,0.65,18,5.5,136,few clouds
2025-05-26 19:00:00,307.26,306.95,1006,32,287.28,0.1,0,4.09,122,clear sky
2025-05-26 20:00:00,305.21,304.85,1008,36,287.03,0,2,1.37,38,clear sky
2025-05-26 21:00:00,303.3,303.13,1009,41,287.25,0,1,2.28,136,light rain
2025-05-26 22:00:00,302.93,302.81,1009,42,287.15,0,0,3.26,171,clear sky
2025-05-26 23:00:00,302.68,302.64,1008,43,287.56,0,0,1.76,163,clear sky
2025-05-27 00:00:00,302.04,302.22,1008,46,288.01,0,0,1.81,157,clear sky
2025-05-27 01:00:00,301.32,301.7,1008,49,288.5,0,0,0.04,104,clear sky
2025-05-27 02:00:00,300.7,301.19,1008,51,288.69,0,0,0.45,82,clear sky
2025-05-27 03:00:00,300.12,300.72,1008,53,288.6,0,0,0.31,126,clear sky
2025-05-27 04:00:00,299.85,300.46,1008,53,288.34,0,1,0.57,215,clear sky
2025-05-27 05:00:00,299.87,300.36,1008,51,287.9,0,2,0.53,259,clear sky
2025-05-27 06:00:00,299.58,299.58,1009,53,287.9,0,3,0.34,168,clear sky
2025-05-27 07:00:00,300.54,301.02,1009,51,288.3,0.37,8,0.52,94,clear sky
2025-05-27 08:00:00,302.21,302.53,1010,47,288.5,1.41,6,1.62,59,clear sky
2025-05-27 09:00:00,303.43,303.69,1010,44,289,3.41,5,2.22,57,clear sky
